Method,Display Name,Features Selected,Original Features,Reduction (%),Selected Feature Indices,Selected Feature Names
filter_ttest,Welch's T-Test (Filter),20,54675,99.96,3845;11972;12882;14554;15084;15388;15654;15655;16746;23015;25211;26336;26464;27056;37794;39147;39386;39723;41245;48899,1557729_at;202524_s_at;203435_s_at;205107_s_at;205637_s_at;205941_s_at;206208_at;206209_s_at;207302_at;213715_s_at;215918_s_at;217046_s_at;217177_s_at;217771_at;228540_at;229893_at;230132_at;230469_at;231991_at;239650_at
filter_anova,ANOVA F-Test (Filter),20,54675,99.96,3845;11972;14554;15084;15388;15654;15655;16746;23015;25211;26336;26713;27056;37794;39147;39386;39723;41478;48899;50921,1557729_at;202524_s_at;205107_s_at;205637_s_at;205941_s_at;206208_at;206209_s_at;207302_at;213715_s_at;215918_s_at;217046_s_at;217428_s_at;217771_at;228540_at;229893_at;230132_at;230469_at;232224_at;239650_at;241672_at
wrapper_svm,SVM-RFE (Wrapper),20,54675,99.96,11935;11972;13109;13562;15388;15474;18583;19993;24070;25211;26336;26713;27056;28810;29150;37794;39723;40487;41027;46392,202487_s_at;202524_s_at;203662_s_at;204115_at;205941_s_at;206027_at;209169_at;210608_s_at;214774_x_at;215918_s_at;217046_s_at;217428_s_at;217771_at;219526_at;219866_at;228540_at;230469_at;231233_at;231773_at;237143_at
wrapper_rf,RandomForest Importance (Wrapper),20,54675,99.96,3845;11972;14554;15084;15388;15654;15655;16746;23015;25211;26336;26713;27056;37794;39147;39386;39723;41478;48899;50921,1557729_at;202524_s_at;205107_s_at;205637_s_at;205941_s_at;206208_at;206209_s_at;207302_at;213715_s_at;215918_s_at;217046_s_at;217428_s_at;217771_at;228540_at;229893_at;230132_at;230469_at;232224_at;239650_at;241672_at
embedded_lasso,LASSO / L1 Logistic (Embedded),20,54675,99.96,3845;11011;11971;11972;12882;13767;14554;15388;16746;19993;22044;25211;26713;27056;28792;31695;37794;39723;51849;54390,1557729_at;201563_at;202523_s_at;202524_s_at;203435_s_at;204320_at;205107_s_at;205941_s_at;207302_at;210608_s_at;212739_s_at;215918_s_at;217428_s_at;217771_at;219508_at;222416_at;228540_at;230469_at;242600_at;43511_s_at
